,NAME,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges
849,MERCY MEDICAL CENTER,1301 15TH AVENUE W,WILLISTON,ND,58801,WILLIAMS,R,353.72,"4,711",25,"9,150","1,551","4,711",25,"9,150","1,551",3354.0,25.0,9150.0,1551.0,1475519.0,11909953.0,6940024.0,7647812.0,28496173.0,61531472.0,4428329.0,65585948.0,26156163.0,127761032.0,153917195.0,0,0,0,0,0,0,17200235.0,0,0,51585426.0,-37462680.0,0,0,5381357.0,36704338.0,0.0,6761636.0,19684230.0,26445866.0,102946177.0,4766007.0,2319155.0,0,1716025.0,0,189336.0,24254005.0,8469054.0,0,0,4540443.0,13009497.0,37263502.0,65682675.0,65682675.0,102946177.0,0,0,31242923.0,148105781.0,179348704.0,93203180.0,90027645.0,3175535.0,11279015.0,14454550.0,11909953.0,2544597.0,0.43,6842271.0,17718484.0
850,UTAH STATE HOSPITAL,1300 E CENTER STREET,PROVO,UT,84606,,U,825.00,"109,390",342,"124,830",276,"109,390",342,"124,830",276,109390.0,342.0,124830.0,276.0,0,120106.0,42037.0,42037.0,60556382.0,18222796.0,6217830.0,71222281.0,45112213.0,0,45112213.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78779178.0,-78779178.0,0,-78779178.0,0,-78779178.0,,13104131.0,0
851,VIBRA HOSPITAL OF NORTHWEST INDIANA,9509 GEORGIA STREET,CROWN POINT,IN,46307-6518,LAKE,U,112.68,"11,240",40,"14,600",419,"11,240",40,"14,600",419,11240.0,40.0,14600.0,419.0,0,0,0,0,7988587.0,9959646.0,101674.0,17454341.0,75876453.0,0,75876453.0,0,0,7988587.0,0,0,0,8243.0,0,0,3803843.0,-187054.0,251713.0,761026.0,0,4637771.0,0.0,0,8544041.0,8544041.0,13503572.0,1166708.0,568371.0,-255706.0,0,0,243049.0,2840689.0,0,0,0,1016437.0,1016437.0,3857126.0,9646446.0,9646446.0,13503572.0,0,0,76258868.0,0,76258868.0,16844497.0,17948233.0,-1103736.0,23020.0,-1080716.0,0,-1080716.0,,0,0
852,STORY COUNTY HOSPITAL,630 6TH STREET,NEVADA,IA,50201,STORY,U,131.49,"2,496",17,"6,222",64,"37,407",97,"35,502",92,210.0,17.0,6222.0,64.0,37471.0,476096.0,534228.0,534228.0,12657050.0,16720403.0,2037894.0,29401992.0,9187012.0,21451641.0,30638653.0,0,0,0,0,0,0,13344453.0,327016.0,0,4110876.0,-857234.0,674087.0,0,483683.0,23587680.0,0.0,6543126.0,2485348.0,9028474.0,53891814.0,1180020.0,1275446.0,0,3419026.0,0,24164.0,7442641.0,0,23845526.0,0,14210594.0,38056120.0,45498761.0,8393053.0,8393053.0,53891814.0,0,0,9152565.0,23337701.0,32490266.0,26733573.0,29853549.0,-3119976.0,8350618.0,5230642.0,40824.0,5189818.0,0.96,4263128.0,4236645.0
853,CAROLINAS CONTINUECARE PINEVILLE,10648 PARK RD,CHARLOTTE,NC,28210,MECKLENBURG,U,144.78,"10,398",40,"14,640",331,"10,398",40,"14,640",331,10398.0,40.0,14640.0,331.0,0,0,0,0,6305267.0,9862956.0,240734.0,14693475.0,64718864.0,0,64718864.0,0,0,0,0,0,0,3784016.0,0,0,6515638.0,-3696007.0,56177.0,327607.0,0,6987431.0,0.0,0,858622.0,858622.0,8699657.0,0,720841.0,0,0,0,5223413.0,5944254.0,0,0,0,175104.0,175104.0,6119358.0,2580299.0,2580299.0,8699657.0,0,0,64718864.0,0,64718864.0,15819013.0,16168223.0,-349210.0,623686.0,274476.0,3.0,274473.0,,0,0
854,DOCS SURGICAL HOSPITAL,6000 SAN VICENTE BLVD.,LOS ANGELES,CA,90036-4404,LOS ANGELES,U,22.78,369,17,"3,944",235,369,17,"3,944",235,369.0,17.0,3944.0,235.0,0,0,0,0,1498600.0,5648207.0,151380.0,6869195.0,32456245.0,2244159.0,34700404.0,299889.0,0,1498600.0,180821.0,0,0,415023.0,0,0,3948736.0,0,85004.0,0,11970.0,4464521.0,0.0,0,7533333.0,7533333.0,15219297.0,1754129.0,0,48184.0,591238.0,0,14960447.0,17353998.0,0,0,0,0,0,17353998.0,-2134701.0,-2134701.0,15219297.0,0,0,32456245.0,2244160.0,34700405.0,6966718.0,7146807.0,-180089.0,22934.0,-157155.0,0,-157155.0,0.2,0,0
855,SOUTHERN MONO HEALTH CARE DISTRICT,85 SIERRA PARK ROAD,MAMMOTH LAKES,CA,93546-,MONO,R,236.81,"1,591",17,"6,222",682,"81,002",17,"6,222",682,1389.0,15.0,5490.0,682.0,1673560.0,1166090.0,2321984.0,9573244.0,29228188.0,49509137.0,1531236.0,59427400.0,35613437.0,68325582.0,103939019.0,0,0,0,0,0,0,89678021.0,1547292.0,0,9656299.0,0,1945031.0,978727.0,15931458.0,119927996.0,0.0,1745882.0,3230000.0,4975882.0,162157591.0,4008010.0,5507002.0,0,1430146.0,303383.0,0,17445556.0,0,28699515.0,0,0,28699515.0,46145071.0,116012520.0,116012520.0,162157591.0,0,0,35066129.0,92828579.0,127894708.0,81509315.0,78737325.0,2771990.0,14977226.0,17749216.0,2927068.0,14822148.0,0.57,6316252.0,23729674.0
856,SURPRISE VALLEY HEALTH CARE DISTRICT,MAIN AND WASHINGTON,CEDARVILLE,CA,96104,MODOC,R,28.92,319,4,"1,464",20,"9,067",26,"9,516",20,73.0,4.0,1464.0,20.0,19643.0,38556.0,33138.0,2245320.0,2896524.0,3457010.0,68634.0,6162916.0,5434031.0,1416660.0,6850691.0,0,0,0,0,0,0,6652627.0,0,0,407895.0,-262761.0,140043.0,28442.0,0,6983743.0,0.0,0,0,0,7210153.0,1508361.0,218046.0,760796.0,4915653.0,0,0,7402856.0,0,658266.0,0,0,658266.0,8061122.0,-850969.0,-850969.0,7210153.0,0,0,5093252.0,1786680.0,6879932.0,2989705.0,6353534.0,-3363829.0,3784135.0,420306.0,0,420306.0,0.9,13389.0,2473942.0
857,BHC FREMONT HOSPITAL,BHC FREMONT HOSPITAL,FREMONT,CA,94538,,U,266.17,"40,719",148,"54,168","4,850","40,719",148,"54,168","4,850",40719.0,148.0,54168.0,4850.0,0,0,0,0,22785115.0,18578105.0,1636476.0,35577801.0,97730400.0,4764500.0,102494900.0,0,0,0,0,0,0,-513398.0,0,0,8845833.0,0,233576.0,109640.0,0,8675651.0,0.0,0,67338982.0,67338982.0,105879203.0,1411327.0,2410229.0,0,0,0,788160.0,-40774093.0,0,0,0,0,0,-40774093.0,146653296.0,146653296.0,105879203.0,0,0,97730400.0,4764500.0,102494900.0,58373477.0,40365144.0,18008333.0,1352932.0,19361265.0,0,19361265.0,,0,0
858,NATIONAL REHABILITATION HOSPITAL,102 IRVING STREET NW,WASHINGTON,DC,20010,DC,U,"1,494.52","33,392",137,"50,142","1,886","33,392",137,"50,142","1,886",33392.0,137.0,50142.0,1886.0,0,0,-12423.0,-12423.0,83444926.0,64269746.0,363946.0,77910450.0,110089798.0,24285807.0,134375605.0,0,0,0,0,0,0,730208.0,0,0,20637974.0,-7598086.0,532633.0,861942.0,0,17870754.0,0.0,41190560.0,13325448.0,54516008.0,95111193.0,1940647.0,9498818.0,0,0,0,10087778.0,21527243.0,0,0,0,6887922.0,6887922.0,28415165.0,66696028.0,66696028.0,95111193.0,0,0,119831311.0,130372491.0,250203802.0,130885768.0,147714672.0,-16828904.0,8282986.0,-8545918.0,-259074.0,-8286844.0,0.58,0,0
859,HAMILTON MEMORIAL HOSPITAL,611 SOUTH MARSHALL,MCLEANSBORO,IL,62859,HAMILTON,R,113.46,"3,326",25,"9,150",332,"16,676",25,"9,150",332,871.0,25.0,9150.0,332.0,14681.0,617624.0,275083.0,275789.0,6540097.0,10214238.0,1469603.0,14705127.0,8078912.0,23454858.0,31533770.0,0,0,0,0,0,0,8386175.0,0,0,1988006.0,0,427496.0,161072.0,0,10971058.0,0.0,3204757.0,104262.0,3309019.0,25519159.0,1028152.0,644474.0,0,670000.0,4035175.0,248072.0,6625873.0,0,18090000.0,0,0,18090000.0,24715873.0,803286.0,803286.0,25519159.0,0,0,8354383.0,23836459.0,32190842.0,15500431.0,15857432.0,-357001.0,1615415.0,1258414.0,896903.0,361511.0,0.47,2681381.0,4514658.0
860,THE CHILDRENS HOME OF PITTSBURGH,5618 KENTUCKY AVE,PITTSBURGH,PA,15232,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
861,KINDRED HOSPITAL MANSFIELD,1802 HIGHWAY 157 NORTH,MANSFIELD,TX,76063,TARRANT,U,103.10,"8,880",55,"20,130",386,"8,880",55,"20,130",386,7290.0,50.0,18300.0,386.0,0,0,0,0,7278538.0,8934989.0,237128.0,14898689.0,51504590.0,62316.0,51566906.0,1176130.0,0,7278538.0,645062.0,0,0,-2429.0,0,0,3941775.0,-965256.0,226632.0,0,0,3204190.0,0.0,0,3207234.0,3207234.0,7380241.0,474423.0,475710.0,15188.0,0,0,9225702.0,10191023.0,0,0,0,-10438.0,-10438.0,10180585.0,-2800344.0,-2800344.0,7380241.0,0,0,51504590.0,62316.0,51566906.0,14357986.0,16213527.0,-1855541.0,10642.0,-1844899.0,0,-1844899.0,,0,0
862,HEARTLAND LONG TERM ACUTE CARE HOSPI,5325 FARAON,ST JOSEPH,MO,64506-3398,,U,54.57,"8,164",41,"15,006",260,"8,164",41,"15,006",260,8164.0,41.0,15006.0,260.0,0,0,0,0,3582951.0,7622900.0,123218.0,12328225.0,36593613.0,946.0,36594559.0,0,0,0,0,0,0,-17219.0,0,0,10698567.0,-7833245.0,10021.0,9896.0,0,2869317.0,0.0,0,0,0,3696834.0,227.0,151368.0,44040.0,0,0,119920.0,10620879.0,0,0,0,2522976.0,2522976.0,13143855.0,-9447021.0,-9447021.0,3696834.0,0,0,36597597.0,0,36597597.0,10508386.0,11300130.0,-791744.0,1353436.0,561692.0,0,561692.0,,0,0
863,MAHONING VALLEY HOSPITAL,8049 SOUTH AVENUE,BOARDMAN,OH,44512-,MAHONING,U,108.95,"10,201",42,"15,330",402,"10,201",42,"15,330",402,10201.0,42.0,15330.0,402.0,0,0,0,0,6832739.0,9305681.0,70109.0,16135476.0,116334182.0,22716.0,116356898.0,0,0,6832739.0,0,0,0,140584.0,0,0,3537305.0,-2051256.0,99748.0,32612.0,0,1758993.0,0.0,0,3889375.0,3889375.0,5733622.0,1333575.0,524855.0,-92217.0,0,0,261073.0,2602570.0,0,0,0,867764.0,867764.0,3470334.0,2263288.0,2263288.0,5733622.0,0,0,116356898.0,0,116356898.0,15925969.0,16138420.0,-212451.0,68100.0,-144351.0,0,-144351.0,,0,0
864,VIBRA HOSPITAL OF CHARLESTON  LLC,1200 HOSPITAL DRIVE,MT. PLEASANT,SC,29464,CHARLESTON,U,149.96,"15,479",59,"21,594",497,"15,479",59,"21,594",497,15479.0,59.0,21594.0,497.0,0,0,0,0,10350595.0,12677558.0,128186.0,22365214.0,113832747.0,142565.0,113975312.0,0,0,0,0,0,0,1499119.0,0,0,6173731.0,-150903.0,224481.0,571403.0,0,8317831.0,0.0,0,107799.0,107799.0,9312261.0,1924220.0,578635.0,86708.0,0,0,2803732.0,26805566.0,0,14664.0,0,2655523.0,2670187.0,29475753.0,-20163492.0,-20163492.0,9312261.0,0,0,114311647.0,142565.0,114454212.0,22811436.0,23028153.0,-216717.0,490555.0,273838.0,0,273838.0,,0,0
865,SOUTHWEST HEALTH CENTER,1400 EAST SIDE ROAD,PLATTEVILLE,WI,53818-,GRANT,R,308.38,"2,386",25,"9,150",808,"65,350",113,"41,358",900,1726.0,25.0,9150.0,808.0,118402.0,2090981.0,1030671.0,2392876.0,34199377.0,34975844.0,3211989.0,54946607.0,31159277.0,90026978.0,121186255.0,0,0,0,0,0,0,24938403.0,0,0,22564976.0,-12415040.0,1031432.0,426049.0,0,36800060.0,0.0,42239234.0,695677.0,42934911.0,114276343.0,1464106.0,3648084.0,0,2605554.0,0,5637524.0,13355268.0,0,13928912.0,0,759495.0,14688407.0,28043675.0,86232668.0,86232668.0,114276343.0,0,0,36706476.0,105758123.0,142464599.0,71541233.0,71527340.0,13893.0,10918335.0,10932228.0,0,10932228.0,0.45,6543865.0,17437065.0
866,NORTH STAR HOSPITAL,2530 DEBARR RD,ANCHORAGE,AK,99508-2948,,U,227.90,"30,872",104,"37,960",927,"30,872",104,"37,960",927,30872.0,104.0,37960.0,927.0,0,0,0,0,14112615.0,12624343.0,1539088.0,23933446.0,91086862.0,0,91086862.0,0,0,0,0,0,0,-145041.0,0,0,6678029.0,0,71005.0,85401.0,0,6689394.0,0.0,0,3046524.0,3046524.0,16895812.0,391537.0,1233907.0,0,0,0,1541685.0,-87677871.0,0,0,0,0,0,-87677871.0,104573683.0,104573683.0,16895812.0,0,0,91086862.0,0,91086862.0,32868631.0,26736958.0,6131673.0,250492.0,6382165.0,0,6382165.0,,0,0
867,QUAIL RUN BEHAVIORAL HEALTH,2545 WEST QUAIL AVENUE,PHOENIX,AZ,85027,MARICOPA,U,187.84,"32,840",102,"37,332","3,917","32,840",102,"37,332","3,917",32840.0,102.0,37332.0,3917.0,0,0,0,0,11168668.0,11482678.0,683290.0,18224265.0,72230400.0,1351875.0,73582275.0,0,0,0,0,0,0,-47701.0,0,0,4198525.0,0,99009.0,354857.0,0,4604690.0,0.0,0,296498.0,296498.0,24515585.0,368434.0,982283.0,0,0,0,639616.0,-10488838.0,0,0,0,0,0,-10488838.0,35004423.0,35004423.0,24515585.0,0,0,72230400.0,1351875.0,73582275.0,25527507.0,16847844.0,8679663.0,102200.0,8781863.0,0,8781863.0,,0,0
868,ARKANSAS STATE HOSPITAL,305 SOUTH PALM,LITTLE ROCK,AR,72205-4096,PULASKI,U,626.33,"74,406",230,"84,180",351,"74,406",230,"84,180",351,74406.0,230.0,84180.0,351.0,0,0,0,0,25860765.0,23570992.0,1154134.0,47571921.0,58950642.0,4972.0,58955614.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,10667155.0,10667155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10667155.0,10667155.0,10667155.0,0,0,58950642.0,4972.0,58955614.0,58955614.0,49431757.0,9523857.0,0,9523857.0,0,9523857.0,,0,0
869,SOUTH FLORIDA STATE HOSPITAL,800 EAST CYPRESS DRIVE,PEMBROKE PINES,FL,33025,DADE,U,150.89,"17,934",49,"17,797",41,"123,621",338,"123,250",290,17934.0,49.0,17797.0,41.0,0,0,0,0,24495233.0,14315967.0,728800.0,37082046.0,37433365.0,0,37433365.0,304758939.0,0,24495233.0,0,0,0,703108.0,0,0,3216229.0,0,330768.0,0,0,4250105.0,0.0,0,0,0,5250139.0,542107.0,0,0,0,0,0,542107.0,0,0,0,1750655.0,1750655.0,2292762.0,2957377.0,2957377.0,5250139.0,0,0,1131594.0,0,1131594.0,1131594.0,38811200.0,-37679606.0,0,-37679606.0,0,-37679606.0,,0,0
870,RIVER POINT BEHAVIORAL HEALTH,6300 BEACH BOULEVARD,JACKSONVILLE,FL,32216,JACKSONVILLE,U,123.81,"17,030",84,"30,744","3,326","17,030",84,"30,744","3,326",17030.0,84.0,30744.0,3326.0,0,0,0,0,6247171.0,9143788.0,547524.0,10681083.0,37646050.0,3036275.0,40682325.0,0,0,0,0,0,0,-58871.0,0,0,5072154.0,-4483060.0,27665.0,21233.0,0,895952.0,0.0,29911554.0,911615.0,30823169.0,38202542.0,227687.0,220468.0,271287.0,0,0,332922.0,1052364.0,0,0,0,36885997.0,36885997.0,37938361.0,264181.0,264181.0,38202542.0,0,0,37646050.0,3036275.0,40682325.0,10114978.0,11252029.0,-1137051.0,112434.0,-1024617.0,0,-1024617.0,,0,0
871,MESA VIEW REGIONAL HOSPITAL,1299 BERTHA HOWE AVE,MESQUITE,NV,89027-,CLARK,R,135.87,"2,880",25,"9,150",879,"2,917",25,"9,150",879,2351.0,21.0,7686.0,879.0,278940.0,2585813.0,930930.0,1775860.0,9532956.0,16853428.0,1020640.0,23790151.0,26085916.0,88749411.0,114835327.0,0,0,0,0,0,0,-257384.0,0,0,5739775.0,-2176249.0,566501.0,251876.0,79444.0,4203963.0,0.0,0,2533528.0,2533528.0,45785511.0,806507.0,858406.0,130299.0,291296.0,0,3722851.0,-2831923.0,0,188314.0,0,3.0,188317.0,-2643606.0,48429117.0,48429117.0,45785511.0,0,0,26085916.0,88749411.0,114835327.0,26528680.0,26386384.0,142296.0,676833.0,819129.0,0,819129.0,0.21,1414230.0,14659161.0
872,MISSION HOSPITAL  INC,506 BILTMORE AVENUE,ASHEVILLE,NC,28801,BUNCOMBE,R,"5,167.59","66,715",665,"81,795","11,412","73,483",727,"89,421","12,139",44032.0,448.0,55104.0,11412.0,8357005.0,52009172.0,27147186.0,27147186.0,108954561.0,328689768.0,25364780.0,322194291.0,685721222.0,658384069.0,1344105291.0,17749719.0,0,108954561.0,5341667.0,57176.0,0,0,0,0,731190535.0,-513749211.0,25584679.0,36687600.0,252795875.0,581979501.0,0.0,927438.0,15530936.0,16458374.0,1572351614.0,19342601.0,55131324.0,0,0,6676922.0,31748713.0,112899560.0,0,0,0,747657.0,747657.0,113647217.0,1458704397.0,1458704397.0,1572351614.0,26183433.0,2704507.0,685721219.0,662384068.0,1348105287.0,436004173.0,437644329.0,-1640156.0,37991196.0,36351040.0,0,36351040.0,0.24,44551876.0,0
873,USA HEALTHCARE PSYCH SERVICES LLC,1910 CHEROKEE AVE,CULLMAN,AL,35056,CULLMAN,R,49.00,"3,825",40,"11,840",383,"5,546",80,"14,640",383,3825.0,40.0,11840.0,383.0,0,0,0,0,2001159.0,3835101.0,49615.0,5038928.0,6028013.0,0,6028013.0,103689.0,0,2001159.0,0,0,0,16163.0,0,0,1871623.0,-993387.0,0,41637.0,297482.0,1233518.0,0.0,0,272905.0,272905.0,1377828.0,448898.0,113686.0,19420.0,0,0,646303.0,7161391.0,0,35516.0,0,0,35516.0,7196907.0,-5819079.0,-5819079.0,1377828.0,0,0,6061501.0,0,6061501.0,3428308.0,5836260.0,-2407952.0,295444.0,-2112508.0,0,-2112508.0,,0,0
874,GEORGIA REGIONAL HOSPITAL ATLANTA,3073 PANTHERSVILLE ROAD,DECATUR,GA,30034,DEKALB,U,996.00,"41,359",114,"41,610",901,"41,359",114,"41,610",901,41359.0,114.0,41610.0,901.0,0,0,0,0,42971622.0,39463696.0,2221083.0,31692226.0,48537766.0,0,48537766.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82435318.0,-82435318.0,0,-82435318.0,0,-82435318.0,,0,0
875,GEORGIA REGIONAL HOSPITAL@ SAVANNAH,1915 EISENHOWER DRIVE,SAVANNAH,GA,31406,CHATHAM,U,418.00,"35,799",112,"40,992",847,"35,799",112,"40,992",847,35799.0,112.0,40992.0,847.0,0,0,0,0,30287037.0,13021915.0,-663928.0,26893444.0,46103165.0,2995.0,46106160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43308952.0,-43308952.0,0,-43308952.0,0,-43308952.0,,0,0
876,CARRIS HEALTH-REDWOOD LLC,100 FALLWOOD ROAD,REDWOOD FALLS,MN,56283,REDWOOD,R,142.77,"1,745",25,"9,150",450,"24,241",25,"9,150",450,1139.0,25.0,9150.0,450.0,5849.0,188637.0,123685.0,1515354.0,12550161.0,20974803.0,945767.0,32121516.0,8862259.0,45643775.0,54506034.0,0,0,0,0,0,0,28976973.0,0,0,8505376.0,8434.0,597495.0,166296.0,0,38293475.0,0.0,488562.0,29125212.0,29613774.0,109370393.0,911918.0,3019665.0,0,290504.0,0,22503949.0,26726036.0,0,0,0,51169625.0,51169625.0,77895661.0,31474732.0,31474732.0,109370393.0,0,0,9945243.0,46613933.0,56559176.0,34546204.0,33396944.0,1149260.0,3250769.0,4400029.0,0,4400029.0,0.59,2678663.0,6906829.0
877,EDGEFIELD COUNTY HOSPITAL,300 RIDGE MEDICAL PLAZA,EDGEFIELD,SC,29824-,EDGEFIELD,R,106.82,"1,164",25,"2,300",27,"3,804",25,"2,300",27,122.0,25.0,2300.0,27.0,79915.0,639844.0,511242.0,707102.0,1944551.0,1750725.0,43626.0,3334683.0,1003555.0,4046808.0,5050363.0,0,0,0,0,0,0,685182.0,0,0,3338073.0,-1513738.0,265664.0,0,35356.0,2985834.0,0.0,0,0,0,6473098.0,751614.0,335778.0,0,421382.0,0,-64159.0,1444615.0,1855618.0,0,0,0,1855618.0,3300233.0,3172865.0,3172865.0,6473098.0,0,0,1013111.0,4518892.0,5532003.0,2950052.0,3695276.0,-745224.0,512265.0,-232959.0,0,-232959.0,0.66,13372.0,620761.0
878,ASCENSION SETON SHOAL CREEK,3501 MILLS AVENUE,AUSTIN,TX,78731-0000,TRAVIS,U,152.10,"13,542",70,"25,620","2,105","13,542",70,"25,620","2,105",13542.0,70.0,25620.0,2105.0,0,0,0,0,10090250.0,10766961.0,567738.0,20450305.0,33233182.0,8974746.0,42207928.0,0,0,0,0,0,0,572.0,0,0,13736200.0,-10847866.0,38141.0,1419.0,13136.0,3422866.0,0.0,0,-7951201.0,-7951201.0,1839813.0,132329.0,955683.0,0,0,12733.0,2213516.0,3314261.0,0,81986.0,0,343559.0,425545.0,3739806.0,-1899993.0,-1899993.0,1839813.0,0,0,33233182.0,8974746.0,42207928.0,12642182.0,20857211.0,-8215029.0,962006.0,-7253023.0,0,-7253023.0,,0,0
879,WILLIAM R SHARPE JR HOSPITAL,936 SHARPE HOSPITAL ROAD,WESTON,WV,26452-8550,LEWIS,R,415.59,"49,619",150,"48,300",430,"49,619",150,"48,300",430,49619.0,150.0,48300.0,430.0,0,0,0,0,14050527.0,55878770.0,1947510.0,46659965.0,39147509.0,0,39147509.0,0,0,0,0,0,0,-1522968.0,0,0,281818.0,0,475400.0,0,0,-765750.0,0.0,0,660314.0,660314.0,55274061.0,5414228.0,2335003.0,0,0,0,5705716.0,13454947.0,0,0,0,3114567.0,3114567.0,16569514.0,38704547.0,38704547.0,55274061.0,0,0,39147509.0,0,39147509.0,2307342.0,69929297.0,-67621955.0,73496286.0,5874331.0,0,5874331.0,,0,0
880,BANNER BEHAVIORAL HEALTH HOSPITAL,7575 EAST EARLL DRIVE,SCOTTSDALE,AZ,85251,MARICOPA,U,352.38,"42,477",156,"56,940","7,228","42,477",156,"56,940","7,228",42477.0,156.0,56940.0,7228.0,0,0,0,0,22587529.0,25469085.0,3777398.0,40260640.0,125866625.0,4013665.0,129880290.0,0,0,0,0,0,0,385.0,0,0,6806437.0,0,110499.0,0,38335.0,7341242.0,0.0,0,5608912.0,5608912.0,55313029.0,44376.0,1792439.0,0,0,0,523682.0,2360497.0,0,0,0,5333080.0,5333080.0,7693577.0,47619452.0,47619452.0,55313029.0,0,0,125866625.0,4013665.0,129880290.0,46508414.0,48056614.0,-1548200.0,2093169.0,544969.0,0,544969.0,,0,0
881,KAISER PERMANENTE PSYCH-SANTA CLARA,3840 HOMESTEAD RD.,SANTA CLARA,CA,95051,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
882,SCHWAB REHAB HOSP & CARE NETWORK,1401 S. CALIFORNIA AVE,CHICAGO,IL,60608-,COOK,U,233.36,"14,670",41,"15,006","1,169","16,751",56,"20,490","1,169",14670.0,41.0,15006.0,1169.0,0,0,0,0,17888117.0,13578266.0,1155995.0,26953122.0,70485549.0,16954675.0,87440224.0,0,0,0,0,0,0,0,598000.0,0,8583000.0,-1939000.0,62000.0,71000.0,0,7399000.0,0.0,3232000.0,64927000.0,68159000.0,88191000.0,0,1933000.0,217000.0,1223000.0,0,4510000.0,7883000.0,0,13949000.0,0,2548000.0,16497000.0,24380000.0,63811000.0,63811000.0,88191000.0,0,0,70483090.0,20784791.0,91267881.0,29693748.0,31466383.0,-1772635.0,1610034.0,-162601.0,0,-162601.0,,0,0
883,MANNING REGIONAL HEALTHCARE CENTER,410 MAIN STREET,MANNING,IA,51455,CARROLL,R,96.54,823,17,"6,222",123,823,17,"6,222",130,486.0,17.0,6222.0,123.0,16983.0,145547.0,149649.0,149649.0,5827918.0,8689966.0,2186983.0,12747439.0,1920641.0,17097370.0,19018011.0,0,0,0,0,0,0,13472558.0,0,0,1180748.0,0,279734.0,146870.0,0,15405573.0,0.0,3186356.0,0,3186356.0,33986296.0,379105.0,452325.0,0,950833.0,3746622.0,1820321.0,7349206.0,19139995.0,0,0,0,19139995.0,26489201.0,7404700.0,7497095.0,33986296.0,0,0,1920641.0,19534670.0,21455311.0,14712990.0,14518632.0,194358.0,1082510.0,1276868.0,0,1276868.0,0.67,3339718.0,4674026.0
